sheet,included_public_workbook,n_rows,n_columns,reason,headers
nibp_pairing_sensitivity_grid,True,4,7,public: aggregate/reporting table; no case identifier or time-series key detected,window_before_sec; window_after_sec; events; paired_events; pairing_rate; mean_bias_nibp_minus_art; median_abs_error
nibp_subset_flow,True,5,4,public: aggregate/reporting table; no case identifier or time-series key detected,step; n_cases; definition; parent_step
offset_variability,True,15,10,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; offset_count; hdr_min; hdr_median; hdr_max; hdr_sd; odr_min; odr_median; odr_max
selective_continuous_frontier,True,5,7,public: aggregate/reporting table; no case identifier or time-series key detected,rank_cutoff; selected_n; monitoring_burden_case_fraction; high_hidden_events_total; high_hidden_events_captured; capture_rate; nnt_monitor
selective_continuous_oof_predic,False,2435,3,restricted: case-level identifier column(s): case_id,case_id; oof_predicted_risk; high_hidden_label
shared_covariate_dictionary,True,5,3,public: aggregate/reporting table; no case identifier or time-series key detected,variable; vitaldb_available; inspire_available
smd_table,True,4,4,public: aggregate/reporting table; no case identifier or time-series key detected,variable; vitaldb_mean; inspire_mean; standardized_mean_difference
strategy_decomposition,True,27,23,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; definition; threshold; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias; measurement_burden; sample_count_total; trigger_count_total; selected_continuous_cases; hdr65; odr65; hdr_reduction_vs_5min; relative_hdr_reduction_vs_5min; extra_measurements_per_hour; cost_domain; extra_cuff_inflations_per_hour; modality_burden_note
strategy_decomposition_case,False,65745,21,restricted: case-level identifier column(s): case_id,case_id; strategy; definition; threshold; anesthesia_hours; measurement_burden_per_hour; trigger_count; sample_count; selected_for_continuous; true_auc; display_auc; hidden_auc; overdisplay_auc; concordant_auc; normotensive_display_min; normotensive_display_discordance_min; hypotensive_display_discordance_min; true_hypotension_min; hidden_deficit_ratio; overdisplay_deficit_ratio; net_bias_ratio
strategy_display_series_audit,True,27,29,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; definition; threshold; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias; measurement_burden; sample_count_total; trigger_count_total; selected_continuous_cases; hdr65; odr65; hdr_reduction_vs_5min; relative_hdr_reduction_vs_5min; extra_measurements_per_hour; cost_domain; extra_cuff_inflations_per_hour; modality_burden_note; fixed_hidden_auc_total; fixed_overdisplay_auc_total; hidden_changed_vs_fixed5; overdisplay_identical_to_fixed5; all_display_series_identical_to_fixed5; qc_status
strategy_efficiency_frontier,True,9,25,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; definition; threshold; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias; measurement_burden; sample_count_total; trigger_count_total; selected_continuous_cases; hdr65; odr65; hdr_reduction_vs_5min; relative_hdr_reduction_vs_5min; extra_measurements_per_hour; cost_domain; extra_cuff_inflations_per_hour; modality_burden_note; pareto_optimal; scenario_role
strategy_reporting_values,True,9,8,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; hdr65_from_fixed_5min; hdr65_to_strategy; absolute_hdr65_difference; relative_hdr65_reduction; relative_hdr65_reduction_percent; extra_cuff_inflations_per_hour; cost_domain
supp_data_roles,True,3,4,public: aggregate/reporting table; no case identifier or time-series key detected,database; analytic_role; key_n; claim_boundary
supp_nibp_detection_all_thresho,True,9,18,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; mechanism; n_cases_episode; reference_episodes; detected_episodes; missed_episodes; median_delay_min; episode_sensitivity; n_cases_event; tp; fn_false_reassurance; fp_overdisplay; tn; actual_display_events; event_sensitivity; specificity; ppv; npv
supp_nibp_subset_characteristic,True,44,7,public: aggregate/reporting table; no case identifier or time-series key detected,group; variable; n_cases; n_nonmissing; missing_count; statistic; value
supplement_crossref_audit,True,8,2,public: aggregate/reporting table; no case identifier or time-series key detected,item; exists
table1_cohort_characteristics,True,55,7,public: aggregate/reporting table; no case identifier or time-series key detected,group; variable; n_cases; n_nonmissing; missing_count; statistic; value
table1_data_roles,True,3,4,public: aggregate/reporting table; no case identifier or time-series key detected,database; analytic_role; key_n; claim_boundary
table1_data_sources_roles_cohor,True,3,4,public: aggregate/reporting table; no case identifier or time-series key detected,database; analytic_role; key_n; claim_boundary
table2_bidirectional_estimates,True,8,6,public: aggregate/reporting table; no case identifier or time-series key detected,component; display/strategy; n; hdr65 (95% ci); odr65 (95% ci); netbias (95% ci)
table2_frequency,True,15,20,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; n_cases; true_auc_total; hidden_auc_total; hdr; hdr_ci_low; hdr_ci_high; overdisplay_auc_total; odr; odr_ci_low; odr_ci_high; netbias; netbias_ci_low; netbias_ci_high; normotensive_display_discordance_min_per_anesthesia_hour; normotensive_display_discordance_ci_low; normotensive_display_discordance_ci_high; hypotensive_display_discordance_min_per_anesthesia_hour; episode_sensitivity
table2_frequency_decomposition,True,15,20,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; interval_min; n_cases; true_auc_total; hidden_auc_total; hdr; hdr_ci_low; hdr_ci_high; overdisplay_auc_total; odr; odr_ci_low; odr_ci_high; netbias; netbias_ci_low; netbias_ci_high; normotensive_display_discordance_min_per_anesthesia_hour; normotensive_display_discordance_ci_low; normotensive_display_discordance_ci_high; hypotensive_display_discordance_min_per_anesthesia_hour; episode_sensitivity
table3_actual_nibp_timing_cuff_,True,12,10,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; mechanism; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias
table3_nibp_mechanisms,True,12,10,public: aggregate/reporting table; no case identifier or time-series key detected,threshold; mechanism; n_cases; true_auc_total; display_auc_total; hidden_auc_total; overdisplay_auc_total; hdr; odr; netbias
table4_strategy_efficiency_fron,True,9,12,public: aggregate/reporting table; no case identifier or time-series key detected,strategy; definition; hdr65; odr65; netbias; relative_hdr_reduction_vs_5min; extra_cuff_inflations_per_hour; cost_domain; measurement_burden; pareto_optimal; scenario_role; modality_burden_note
