threshold,interval_min,n_cases_total,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high,panel,duration_bin
65.0,1.0,2435,1899,9187.0,9187.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.3459296348705296,0.3434350781221404,0.3482828595983497,,,,,,,sampling_interval,
65.0,2.5,2435,1899,9187.0,7800.466666666667,1386.5333333333333,0.8490765937375278,0.843987987987988,0.8538918850486088,0.1509234062624723,0.1461081149513912,0.156012012012012,,,,,,,,,,0.7430381658077436,0.7328647805134201,0.7530390710146672,,,,,,,sampling_interval,
65.0,3.0,2435,1899,9187.0,7372.111111111111,1814.888888888889,0.802450322315349,0.7968539687283647,0.808155446141603,0.197549677684651,0.191844553858397,0.2031460312716354,,,,,,,,,,0.8381073314342843,0.825750836221593,0.8517255184904541,,,,,,,sampling_interval,
65.0,5.0,2435,1899,9187.0,6042.866666666667,3144.133333333333,0.657762780740902,0.6504166957393859,0.665287995310331,0.342237219259098,0.334712004689669,0.3495833042606142,,,,,,,,,,1.090769097815974,1.06603313693563,1.1138492980618342,,,,,,,sampling_interval,
65.0,10.0,2435,1899,9187.0,4343.733333333334,4843.266666666666,0.4728130329088205,0.4641245247033414,0.4812176985977022,0.5271869670911795,0.5187823014022978,0.5358754752966588,,,,,,,,,,1.2968740407637054,1.2508990133377225,1.3405045735116057,,,,,,,sampling_interval,
55.0,5.0,2435,677,1113.0,452.9,660.1,0.4069182389937106,0.3949242069000012,0.4197541557695926,0.5930817610062893,0.5802458442304074,0.6050757930999987,0.2584905660377358,0.2446422238830029,0.27455675445057,0.05717280622941,0.049250061357932,0.0653390778303085,0.7064217983732892,0.6791864076175416,0.7306562716819468,0.5567822182969014,0.523715228295258,0.589882001576171,1.160950418291995,1.128255558904033,1.1920464099109411,2.1905865901229116,2.076524783228522,2.316615646242767,duration_at_5min,1-<3 min
55.0,5.0,2435,145,185.0,142.66666666666666,42.33333333333333,0.7711711711711711,0.7530766245287203,0.7880186195994214,0.2288288288288288,0.2119813804005786,0.2469233754712796,0.6239639639639639,0.6022550843253969,0.6447371780431028,0.4500900900900901,0.4239238095238095,0.4790569554071375,0.5118063667812258,0.4822791844180171,0.5387434554336834,1.4729361370716512,1.3847382109419917,1.5488123348537195,2.2401479750778814,2.1535673695990196,2.3284681809740215,1.970171339563863,1.7632384955576912,2.196624072715131,duration_at_5min,3-<5 min
55.0,5.0,2435,80,109.0,109.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9743119266055046,0.9647970669488038,0.9828818768727026,0.9061162079510704,0.8835046817364987,0.9279808087027916,0.2174526214526214,0.184831824745208,0.2531462216629462,1.9609582059123345,1.8398249421296295,2.089952539335399,5.85249745158002,5.24360107606733,6.4709901764147695,1.293730886850153,1.1005487263806244,1.4875338468720822,duration_at_5min,>=5 min
60.0,5.0,2435,1188,2775.0,1226.1999999999998,1548.8000000000002,0.4418738738738738,0.4334413090977475,0.4506708403569782,0.5581261261261262,0.5493291596430218,0.5665586909022526,0.3001921921921922,0.2898752943655184,0.3104523789501742,0.08006006006006,0.0734745766534528,0.0869919484112453,0.6762483323943168,0.6580410342144873,0.6916932906572976,0.5281492959277986,0.5073363778442687,0.5481969376211886,1.2500045307091467,1.228150934916762,1.2708245639558169,1.9934168796099965,1.907701375482736,2.07530264618405,duration_at_5min,1-<3 min
60.0,5.0,2435,476,690.0,540.6333333333334,149.36666666666667,0.7835265700483093,0.7745210661584221,0.7923531200801487,0.2164734299516908,0.2076468799198511,0.2254789338415778,0.6430917874396135,0.6320059457277695,0.6535589197427605,0.4763768115942029,0.4620870927318296,0.4893644772154672,0.4915685584281822,0.4768271773597963,0.5081497636073063,1.441231477485254,1.3926702827476876,1.4885483201700251,2.355293174671681,2.3066540098260018,2.401453997772166,1.980465297901638,1.8987423930181824,2.0724858130807178,duration_at_5min,3-<5 min
60.0,5.0,2435,284,440.0,440.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.973560606060606,0.9688940599310528,0.9781262179844098,0.9066666666666666,0.8947857663347097,0.9184462007297972,0.1934331245134584,0.1759269121803892,0.2112521853217482,1.8782070707070704,1.8118246235670912,1.944649875950744,6.32520202020202,5.887527012587159,6.821095475862521,1.5134722222222223,1.4105252857657908,1.6248195365482014,duration_at_5min,>=5 min
65.0,5.0,2435,1664,5438.0,2672.5666666666666,2765.4333333333334,0.4914613215643006,0.4850759383768852,0.4983359426430444,0.5085386784356994,0.5016640573569556,0.5149240616231149,0.361303175186956,0.3532896003829812,0.3698744004341882,0.1084957705038617,0.1023044834758695,0.1144790958950904,0.6306859928838735,0.6174378193271409,0.6429184950044061,0.4646781495940232,0.4496665942149109,0.4801146510783318,1.3382869567748024,1.321154022399167,1.3545710120713612,1.675842199134415,1.6238945298100924,1.729131336532399,duration_at_5min,1-<3 min
65.0,5.0,2435,1034,1931.0,1552.3,378.7,0.8038839979285344,0.7983020847472966,0.8086815447531447,0.1961160020714655,0.1913184552468553,0.2016979152527035,0.6766442257897463,0.6691172962027346,0.6831531814615924,0.5248748489556361,0.5154953990597615,0.5340940499742943,0.4530382459510104,0.4428609027775543,0.4637278501994325,1.3239243559735734,1.289261626305807,1.3598903736675796,2.5090689800797383,2.476773663698176,2.5413359230460437,1.6502716399321435,1.592402841469707,1.7125945484468017,duration_at_5min,3-<5 min
65.0,5.0,2435,902,1818.0,1818.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9786395306197286,0.9766737386920328,0.9807642372554642,0.922148881554822,0.916674734616464,0.9274620887912648,0.1699852045064825,0.1593906487304334,0.1809014144542356,1.8120798190930203,1.7769089092620656,1.848849668643412,6.925543943283217,6.611034615936229,7.259833488545811,1.4858024691358025,1.4353249553688858,1.539260367611714,duration_at_5min,>=5 min
