threshold,interval_min,n_cases_total,n_clusters_total,bootstrap_cluster,bootstrap_reps,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high,panel,duration_bin
65.0,1.0,2435,2380,subjectid,1000,1899,9187.0,9187.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.3459296348705296,0.3435183404138542,0.348273768205974,,,,,,,sampling_interval,
65.0,2.5,2435,2380,subjectid,1000,1899,9187.0,7800.466666666667,1386.5333333333333,0.8490765937375278,0.8442761398813032,0.8536622880893755,0.1509234062624723,0.1463377119106244,0.1557238601186967,,,,,,,,,,0.7430381658077436,0.7326540935993411,0.7529191769135821,,,,,,,sampling_interval,
65.0,3.0,2435,2380,subjectid,1000,1899,9187.0,7372.111111111111,1814.888888888889,0.802450322315349,0.797228847810513,0.8081728550999919,0.197549677684651,0.1918271449000081,0.202771152189487,,,,,,,,,,0.8381073314342843,0.8258539418629673,0.8501400834017665,,,,,,,sampling_interval,
65.0,5.0,2435,2380,subjectid,1000,1899,9187.0,6042.866666666667,3144.133333333333,0.657762780740902,0.6497059432223731,0.6657682756848902,0.342237219259098,0.3342317243151098,0.3502940567776268,,,,,,,,,,1.090769097815974,1.0659130872956937,1.1163934445700343,,,,,,,sampling_interval,
65.0,10.0,2435,2380,subjectid,1000,1899,9187.0,4343.733333333334,4843.266666666666,0.4728130329088205,0.4639970949510956,0.481351241987252,0.5271869670911795,0.518648758012748,0.5360029050489044,,,,,,,,,,1.2968740407637054,1.2501330608869354,1.3428598006306425,,,,,,,sampling_interval,
55.0,5.0,2435,2380,subjectid,1000,677,1113.0,452.9,660.1,0.4069182389937106,0.394272023767742,0.4201628045631213,0.5930817610062893,0.5798371954368787,0.6057279762322579,0.2584905660377358,0.2435095127327088,0.2736304548996687,0.05717280622941,0.048862498493857,0.0660847541388683,0.7064217983732892,0.6798482144796472,0.7297773092128917,0.5567822182969014,0.5230286074343254,0.589208709691336,1.160950418291995,1.1276856804060122,1.195742723299391,2.1905865901229116,2.066228230159055,2.313682461198353,duration_at_5min,1-<3 min
55.0,5.0,2435,2380,subjectid,1000,145,185.0,142.66666666666666,42.33333333333333,0.7711711711711711,0.7521810064935065,0.7876405180840664,0.2288288288288288,0.2123594819159335,0.2478189935064935,0.6239639639639639,0.6023417366946778,0.6431897154371248,0.4500900900900901,0.422455261071469,0.4751267640742445,0.5118063667812258,0.4854793801517623,0.5407899324836883,1.4729361370716512,1.390014130521485,1.5552888336694517,2.2401479750778814,2.1516142560125986,2.3209093209942973,1.970171339563863,1.7386993250777614,2.191697427348195,duration_at_5min,3-<5 min
55.0,5.0,2435,2380,subjectid,1000,80,109.0,109.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9743119266055046,0.9646444171444172,0.9822583504918784,0.9061162079510704,0.8838792781133161,0.9260328341013824,0.2174526214526214,0.1862272368958676,0.2548997535939559,1.9609582059123345,1.842769993625576,2.086526120435935,5.85249745158002,5.243704199735449,6.511924609785715,1.293730886850153,1.104294329864982,1.48534859898652,duration_at_5min,>=5 min
60.0,5.0,2435,2380,subjectid,1000,1188,2775.0,1226.1999999999998,1548.8000000000002,0.4418738738738738,0.4330569075158331,0.4507067999609468,0.5581261261261262,0.5492932000390532,0.5669430924841669,0.3001921921921922,0.2896144735710919,0.3109576090142496,0.08006006006006,0.0735268609735525,0.0869788984320914,0.6762483323943168,0.6581214331227753,0.6929474391323427,0.5281492959277986,0.507661623089654,0.550351679562032,1.2500045307091467,1.2284168887477949,1.2712756003276795,1.9934168796099965,1.9147009043427257,2.0762773381643216,duration_at_5min,1-<3 min
60.0,5.0,2435,2380,subjectid,1000,476,690.0,540.6333333333334,149.36666666666667,0.7835265700483093,0.7748140537798073,0.7919500162298061,0.2164734299516908,0.208049983770194,0.2251859462201928,0.6430917874396135,0.632531182301116,0.653754442501857,0.4763768115942029,0.4628544835708867,0.4894541401449178,0.4915685584281822,0.4751572221513051,0.508453241512829,1.441231477485254,1.3954486916712094,1.4882657266243335,2.355293174671681,2.3071486255347637,2.4010212671968607,1.980465297901638,1.8902980838548793,2.071490504627978,duration_at_5min,3-<5 min
60.0,5.0,2435,2380,subjectid,1000,284,440.0,440.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.973560606060606,0.9687800102973356,0.9780499946039284,0.9066666666666666,0.8943719328184807,0.9183488761079804,0.1934331245134584,0.1766370650723412,0.2138637352949324,1.8782070707070704,1.8098487374648615,1.948445002171681,6.32520202020202,5.832647790519519,6.780028375149342,1.5134722222222223,1.404622578031424,1.61482079302779,duration_at_5min,>=5 min
65.0,5.0,2435,2380,subjectid,1000,1664,5438.0,2672.5666666666666,2765.4333333333334,0.4914613215643006,0.4847089512755791,0.4979808781561119,0.5085386784356994,0.5020191218438881,0.5152910487244209,0.361303175186956,0.3529939865130967,0.369505305944057,0.1084957705038617,0.1019277902511701,0.1143568088130622,0.6306859928838735,0.6176844390964489,0.6434473713834143,0.4646781495940232,0.4498089012903918,0.4792558258340028,1.3382869567748024,1.320358005717269,1.3533395464925548,1.675842199134415,1.6276714635228595,1.729270178287334,duration_at_5min,1-<3 min
65.0,5.0,2435,2380,subjectid,1000,1034,1931.0,1552.3,378.7,0.8038839979285344,0.797873339414439,0.8088381044841081,0.1961160020714655,0.1911618955158919,0.2021266605855608,0.6766442257897463,0.6689299680228078,0.6830474307296254,0.5248748489556361,0.5142526985266563,0.5336402542611511,0.4530382459510104,0.4427055808732001,0.4633128097333933,1.3239243559735734,1.2883339776861062,1.3575099813996652,2.5090689800797383,2.474064048242425,2.539959563642066,1.6502716399321435,1.5920189964081797,1.7109251184854792,duration_at_5min,3-<5 min
65.0,5.0,2435,2380,subjectid,1000,902,1818.0,1818.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9786395306197286,0.9765076610022454,0.9808140231878828,0.922148881554822,0.9168573420670476,0.927863527221208,0.1699852045064825,0.1606239224111898,0.1804361126382782,1.8120798190930203,1.778249425766003,1.8484389219315296,6.925543943283217,6.6257941053701055,7.235848951289731,1.4858024691358025,1.4351956039736906,1.5387424842451385,duration_at_5min,>=5 min
